message,run_number,timestamp,avg_score,gender,age,agreement,attitude_change,clarity,credibility,emotional_impact,engagement_intention,memorability,persuasiveness,relevance,trustworthiness
"To credibly reach carbon neutrality by 2050, the EU should strengthen climate policy through faster permitting, grid investment, and clear financing pathways for renewables. Pair this with retraining, wage support, and regional development.",8,2026-01-26T08:14:17.354067Z,8.5,Female,18-24,9.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0
"To credibly reach carbon neutrality by 2050, the EU should strengthen climate policy through faster permitting, grid investment, and clear financing pathways for renewables. Pair this with retraining, wage support, and regional development.",9,2026-01-26T08:14:17.474018Z,8.3,Female,18-24,9.0,8.0,9.0,8.0,8.0,9.0,7.0,8.0,8.0,9.0
"To credibly reach carbon neutrality by 2050, the EU should strengthen climate policy through faster permitting, grid investment, and clear financing pathways for renewables. Pair this with retraining, wage support, and regional development.",10,2026-01-26T08:14:17.925528Z,8.3,Female,18-24,9.0,8.0,8.0,8.0,8.0,9.0,7.0,8.0,9.0,9.0
"If the EU is serious about carbon neutrality by 2050, it must strengthen climate policy with delivery: speed renewable permitting, modernize grids, and set predictable rules to mobilize capital. Guarantee a just transition with retraining, wage support, and regional investment.",2,2026-01-26T08:14:18.428926Z,8.7,Female,18-24,9.0,8.0,10.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0
"If the EU is serious about carbon neutrality by 2050, it must strengthen climate policy with delivery: speed renewable permitting, modernize grids, and set predictable rules to mobilize capital. Guarantee a just transition with retraining, wage support, and regional investment.",1,2026-01-26T08:14:18.474169Z,8.3,Female,18-24,9.0,8.0,8.0,8.0,8.0,9.0,7.0,8.0,9.0,9.0
"If the EU is serious about carbon neutrality by 2050, it must strengthen climate policy with delivery: speed renewable permitting, modernize grids, and set predictable rules to mobilize capital. Guarantee a just transition with retraining, wage support, and regional investment.",3,2026-01-26T08:14:18.830590Z,8.2,Female,18-24,9.0,8.0,9.0,8.0,7.0,9.0,7.0,8.0,8.0,9.0
"If the EU is serious about carbon neutrality by 2050, it must strengthen climate policy with delivery: speed renewable permitting, modernize grids, and set predictable rules to mobilize capital. Guarantee a just transition with retraining, wage support, and regional investment.",5,2026-01-26T08:14:19.464886Z,8.2,Female,18-24,9.0,8.0,9.0,9.0,7.0,9.0,7.0,8.0,8.0,8.0
"If the EU is serious about carbon neutrality by 2050, it must strengthen climate policy with delivery: speed renewable permitting, modernize grids, and set predictable rules to mobilize capital. Guarantee a just transition with retraining, wage support, and regional investment.",7,2026-01-26T08:14:19.547178Z,8.2,Female,18-24,9.0,8.0,9.0,8.0,7.0,9.0,7.0,8.0,8.0,9.0
"If the EU is serious about carbon neutrality by 2050, it must strengthen climate policy with delivery: speed renewable permitting, modernize grids, and set predictable rules to mobilize capital. Guarantee a just transition with retraining, wage support, and regional investment.",4,2026-01-26T08:14:19.756588Z,8.6,Female,18-24,9.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0
"If the EU is serious about carbon neutrality by 2050, it must strengthen climate policy with delivery: speed renewable permitting, modernize grids, and set predictable rules to mobilize capital. Guarantee a just transition with retraining, wage support, and regional investment.",8,2026-01-26T08:14:19.932301Z,8.1,Female,18-24,9.0,8.0,9.0,8.0,7.0,8.0,7.0,8.0,8.0,9.0
"If the EU is serious about carbon neutrality by 2050, it must strengthen climate policy with delivery: speed renewable permitting, modernize grids, and set predictable rules to mobilize capital. Guarantee a just transition with retraining, wage support, and regional investment.",9,2026-01-26T08:14:20.393837Z,8.4,Female,18-24,9.0,8.0,9.0,8.0,8.0,9.0,7.0,8.0,9.0,9.0
"If the EU is serious about carbon neutrality by 2050, it must strengthen climate policy with delivery: speed renewable permitting, modernize grids, and set predictable rules to mobilize capital. Guarantee a just transition with retraining, wage support, and regional investment.",6,2026-01-26T08:14:20.508763Z,8.4,Female,18-24,9.0,8.0,9.0,8.0,8.0,9.0,7.0,8.0,9.0,9.0
"If the EU is serious about carbon neutrality by 2050, it must strengthen climate policy with delivery: speed renewable permitting, modernize grids, and set predictable rules to mobilize capital. Guarantee a just transition with retraining, wage support, and regional investment.",10,2026-01-26T08:14:21.370900Z,8.0,Female,18-24,9.0,8.0,7.0,9.0,7.0,8.0,7.0,8.0,9.0,8.0
"The EU must strengthen climate policy to reach carbon neutrality by 2050, but we should avoid major changes. Invest massively in renewables while keeping fossil jobs exactly as they are.",3,2026-01-26T08:14:26.168209Z,5.9,Female,25-34,4.0,4.0,9.0,4.0,6.0,6.0,7.0,5.0,8.0,6.0
"The EU must strengthen climate policy to reach carbon neutrality by 2050, but we should avoid major changes. Invest massively in renewables while keeping fossil jobs exactly as they are.",7,2026-01-26T08:14:26.845516Z,6.9,Female,25-34,7.0,6.0,9.0,5.0,6.0,7.0,7.0,6.0,9.0,7.0
"The EU must strengthen climate policy to reach carbon neutrality by 2050, but we should avoid major changes. Invest massively in renewables while keeping fossil jobs exactly as they are.",6,2026-01-26T08:14:27.203490Z,6.4,Female,25-34,6.0,5.0,9.0,5.0,5.0,6.0,6.0,6.0,8.0,8.0
"The EU must strengthen climate policy to reach carbon neutrality by 2050, but we should avoid major changes. Invest massively in renewables while keeping fossil jobs exactly as they are.",4,2026-01-26T08:14:27.268109Z,5.8,Female,25-34,5.0,4.0,6.0,4.0,7.0,6.0,6.0,5.0,9.0,6.0
"The EU must strengthen climate policy to reach carbon neutrality by 2050, but we should avoid major changes. Invest massively in renewables while keeping fossil jobs exactly as they are.",1,2026-01-26T08:14:27.430032Z,5.4,Female,25-34,5.0,4.0,9.0,3.0,4.0,5.0,6.0,4.0,9.0,5.0
"The EU must strengthen climate policy to reach carbon neutrality by 2050, but we should avoid major changes. Invest massively in renewables while keeping fossil jobs exactly as they are.",10,2026-01-26T08:14:27.573531Z,5.9,Female,25-34,6.0,5.0,5.0,4.0,6.0,7.0,7.0,5.0,8.0,6.0
"The EU must strengthen climate policy to reach carbon neutrality by 2050, but we should avoid major changes. Invest massively in renewables while keeping fossil jobs exactly as they are.",8,2026-01-26T08:14:27.573774Z,6.8,Female,25-34,7.0,6.0,8.0,5.0,6.0,7.0,7.0,6.0,9.0,7.0
"The EU must strengthen climate policy to reach carbon neutrality by 2050, but we should avoid major changes. Invest massively in renewables while keeping fossil jobs exactly as they are.",9,2026-01-26T08:14:28.347247Z,5.7,Female,25-34,5.0,4.0,7.0,4.0,5.0,6.0,6.0,5.0,9.0,6.0
"The EU must strengthen climate policy to reach carbon neutrality by 2050, but we should avoid major changes. Invest massively in renewables while keeping fossil jobs exactly as they are.",5,2026-01-26T08:14:28.358483Z,7.6,Female,25-34,8.0,7.0,6.0,8.0,7.0,8.0,7.0,7.0,9.0,9.0
"The EU must strengthen climate policy to reach carbon neutrality by 2050, but we should avoid major changes. Invest massively in renewables while keeping fossil jobs exactly as they are.",2,2026-01-26T08:14:28.859783Z,6.8,Female,25-34,7.0,6.0,6.0,5.0,7.0,7.0,7.0,6.0,9.0,8.0
"The EU must reach carbon neutrality by 2050 with stronger climate policy, but it should cost nothing and require no lifestyle changes. Invest massively in renewables while guaranteeing no higher bills and no disruption.",5,2026-01-26T08:14:36.961075Z,5.5,Female,25-34,7.0,3.0,9.0,3.0,5.0,4.0,7.0,4.0,8.0,5.0
"The EU must reach carbon neutrality by 2050 with stronger climate policy, but it should cost nothing and require no lifestyle changes. Invest massively in renewables while guaranteeing no higher bills and no disruption.",6,2026-01-26T08:14:37.091750Z,5.5,Female,25-34,5.0,3.0,9.0,2.0,6.0,7.0,8.0,4.0,8.0,3.0
"The EU must reach carbon neutrality by 2050 with stronger climate policy, but it should cost nothing and require no lifestyle changes. Invest massively in renewables while guaranteeing no higher bills and no disruption.",3,2026-01-26T08:14:38.319847Z,5.4,Female,25-34,6.0,3.0,9.0,3.0,5.0,4.0,7.0,4.0,8.0,5.0
"The EU must reach carbon neutrality by 2050 with stronger climate policy, but it should cost nothing and require no lifestyle changes. Invest massively in renewables while guaranteeing no higher bills and no disruption.",4,2026-01-26T08:14:38.334828Z,6.1,Female,25-34,6.0,4.0,10.0,2.0,6.0,7.0,8.0,4.0,9.0,5.0
"The EU must reach carbon neutrality by 2050 with stronger climate policy, but it should cost nothing and require no lifestyle changes. Invest massively in renewables while guaranteeing no higher bills and no disruption.",1,2026-01-26T08:14:38.638823Z,5.6,Female,25-34,6.0,3.0,10.0,2.0,5.0,6.0,7.0,4.0,9.0,4.0
"The EU must reach carbon neutrality by 2050 with stronger climate policy, but it should cost nothing and require no lifestyle changes. Invest massively in renewables while guaranteeing no higher bills and no disruption.",7,2026-01-26T08:14:38.792871Z,5.8,Female,25-34,7.0,4.0,10.0,2.0,6.0,5.0,7.0,4.0,8.0,5.0
"The EU must reach carbon neutrality by 2050 with stronger climate policy, but it should cost nothing and require no lifestyle changes. Invest massively in renewables while guaranteeing no higher bills and no disruption.",2,2026-01-26T08:14:38.916620Z,5.7,Female,25-34,6.0,4.0,9.0,3.0,5.0,6.0,7.0,4.0,8.0,5.0
"The EU must reach carbon neutrality by 2050 with stronger climate policy, but it should cost nothing and require no lifestyle changes. Invest massively in renewables while guaranteeing no higher bills and no disruption.",8,2026-01-26T08:14:39.150654Z,5.3,Female,25-34,6.0,3.0,10.0,2.0,4.0,5.0,7.0,4.0,9.0,3.0
"The EU must reach carbon neutrality by 2050 with stronger climate policy, but it should cost nothing and require no lifestyle changes. Invest massively in renewables while guaranteeing no higher bills and no disruption.",10,2026-01-26T08:14:39.276646Z,6.7,Female,25-34,7.0,5.0,10.0,4.0,7.0,6.0,8.0,5.0,9.0,6.0
"The EU must reach carbon neutrality by 2050 with stronger climate policy, but it should cost nothing and require no lifestyle changes. Invest massively in renewables while guaranteeing no higher bills and no disruption.",9,2026-01-26T08:14:40.368366Z,5.9,Female,25-34,6.0,4.0,9.0,3.0,6.0,7.0,8.0,4.0,8.0,4.0
"To achieve carbon neutrality by 2050, the EU should strengthen climate policy by expanding renewables and also increasing fossil fuel production to stabilize emissions. A just transition is needed, but jobs should not change.",2,2026-01-26T08:14:41.566251Z,3.9,Female,25-34,1.0,1.0,5.0,1.0,6.0,7.0,6.0,2.0,8.0,2.0
"To achieve carbon neutrality by 2050, the EU should strengthen climate policy by expanding renewables and also increasing fossil fuel production to stabilize emissions. A just transition is needed, but jobs should not change.",1,2026-01-26T08:14:41.590258Z,4.8,Female,25-34,3.0,2.0,7.0,3.0,6.0,5.0,6.0,4.0,8.0,4.0
"To achieve carbon neutrality by 2050, the EU should strengthen climate policy by expanding renewables and also increasing fossil fuel production to stabilize emissions. A just transition is needed, but jobs should not change.",6,2026-01-26T08:14:42.311477Z,4.3,Female,25-34,3.0,2.0,5.0,2.0,6.0,6.0,6.0,3.0,8.0,2.0
"To achieve carbon neutrality by 2050, the EU should strengthen climate policy by expanding renewables and also increasing fossil fuel production to stabilize emissions. A just transition is needed, but jobs should not change.",4,2026-01-26T08:14:42.399095Z,4.0,Female,25-34,2.0,1.0,6.0,2.0,5.0,4.0,6.0,3.0,7.0,4.0
"To achieve carbon neutrality by 2050, the EU should strengthen climate policy by expanding renewables and also increasing fossil fuel production to stabilize emissions. A just transition is needed, but jobs should not change.",3,2026-01-26T08:14:42.399635Z,4.1,Female,25-34,2.0,1.0,6.0,2.0,6.0,5.0,5.0,3.0,8.0,3.0
"To achieve carbon neutrality by 2050, the EU should strengthen climate policy by expanding renewables and also increasing fossil fuel production to stabilize emissions. A just transition is needed, but jobs should not change.",7,2026-01-26T08:14:42.926642Z,4.4,Female,25-34,3.0,2.0,6.0,2.0,5.0,6.0,7.0,3.0,8.0,2.0
"To achieve carbon neutrality by 2050, the EU should strengthen climate policy by expanding renewables and also increasing fossil fuel production to stabilize emissions. A just transition is needed, but jobs should not change.",5,2026-01-26T08:14:43.212028Z,4.0,Female,25-34,1.0,1.0,7.0,1.0,6.0,7.0,5.0,2.0,8.0,2.0
"To achieve carbon neutrality by 2050, the EU should strengthen climate policy by expanding renewables and also increasing fossil fuel production to stabilize emissions. A just transition is needed, but jobs should not change.",8,2026-01-26T08:14:43.659814Z,4.2,Female,25-34,2.0,2.0,6.0,4.0,5.0,3.0,6.0,3.0,8.0,3.0
"To achieve carbon neutrality by 2050, the EU should strengthen climate policy by expanding renewables and also increasing fossil fuel production to stabilize emissions. A just transition is needed, but jobs should not change.",9,2026-01-26T08:14:43.684070Z,4.2,Female,25-34,2.0,2.0,5.0,2.0,6.0,5.0,6.0,3.0,8.0,3.0
"To achieve carbon neutrality by 2050, the EU should strengthen climate policy by expanding renewables and also increasing fossil fuel production to stabilize emissions. A just transition is needed, but jobs should not change.",10,2026-01-26T08:14:44.746765Z,4.3,Female,25-34,2.0,2.0,5.0,2.0,6.0,5.0,6.0,3.0,8.0,4.0
"The EU must impose tougher climate rules to force rapid decarbonization by 2050. Fossil industries have delayed progress too long, so they should accept the costs while renewables expand quickly.",2,2026-01-26T08:14:52.636716Z,8.0,Female,25-34,8.0,7.0,9.0,8.0,7.0,8.0,8.0,8.0,8.0,9.0
"The EU must impose tougher climate rules to force rapid decarbonization by 2050. Fossil industries have delayed progress too long, so they should accept the costs while renewables expand quickly.",1,2026-01-26T08:14:53.745030Z,8.6,Female,25-34,9.0,8.0,10.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0
"The EU must impose tougher climate rules to force rapid decarbonization by 2050. Fossil industries have delayed progress too long, so they should accept the costs while renewables expand quickly.",8,2026-01-26T08:14:53.885215Z,8.5,Female,25-34,9.0,8.0,10.0,9.0,7.0,9.0,8.0,8.0,8.0,9.0
"The EU must impose tougher climate rules to force rapid decarbonization by 2050. Fossil industries have delayed progress too long, so they should accept the costs while renewables expand quickly.",9,2026-01-26T08:14:53.899562Z,8.7,Female,25-34,9.0,8.0,10.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0
